DATE_TIME,IRRADIATION,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE
2022-01-01 15:30:00,0.5455,33.75,47.39
2022-01-01 15:45:00,0.4646,30.86,44.08
2022-01-01 16:00:00,0.6000,33.03,50.93
2022-01-01 16:15:00,0.5118,32.14,49.30
2022-01-01 16:30:00,0.4778,30.80,45.17
2022-01-01 16:45:00,0.3177,25.45,37.61
2022-01-01 17:00:00,0.2223,26.54,35.71
2022-01-01 17:15:00,0.2177,25.09,35.98
2022-01-01 17:30:00,0.1354,24.12,34.67
2022-01-01 17:45:00,0.0000,23.99,30.68
2022-01-01 18:00:00,0.0000,23.33,32.80
2022-01-01 18:15:00,0.0000,23.00,30.00
2022-01-01 18:30:00,0.0000,21.36,29.25
2022-01-01 18:45:00,0.0000,20.82,28.12
2022-01-01 19:00:00,0.0000,21.98,27.90
2022-01-01 19:15:00,0.0000,20.14,25.57
2022-01-01 19:30:00,0.0000,21.45,26.20
2022-01-01 19:45:00,0.0000,21.45,26.30
2022-01-01 20:00:00,0.0000,23.11,27.15
2022-01-01 20:15:00,0.0000,21.55,28.98
2022-01-01 20:30:00,0.0000,21.82,28.57
2022-01-01 20:45:00,0.0000,23.68,28.85
2022-01-01 21:00:00,0.0000,21.24,26.40
2022-01-01 21:15:00,0.0000,22.99,28.99
2022-01-01 21:30:00,0.0000,20.47,25.41
2022-01-01 21:45:00,0.0000,21.22,27.59
2022-01-01 22:00:00,0.0000,23.74,28.18
2022-01-01 22:15:00,0.0000,23.24,30.16
2022-01-01 22:30:00,0.0000,20.87,29.25
2022-01-01 22:45:00,0.0000,21.60,26.65
2022-01-01 23:00:00,0.0000,22.89,29.06
2022-01-01 23:15:00,0.0000,22.27,27.80
2022-01-01 23:30:00,0.0000,21.46,26.74
2022-01-01 23:45:00,0.0000,21.10,27.14
2022-01-02 00:00:00,0.0000,24.00,30.09
2022-01-02 00:15:00,0.0000,22.99,29.97
2022-01-02 00:30:00,0.0000,23.40,28.93
2022-01-02 00:45:00,0.0000,22.01,30.93
2022-01-02 01:00:00,0.0000,22.57,26.45
2022-01-02 01:15:00,0.0000,20.00,23.93
2022-01-02 01:30:00,0.0000,20.55,24.99
2022-01-02 01:45:00,0.0000,22.73,27.08
2022-01-02 02:00:00,0.0000,21.95,26.25
2022-01-02 02:15:00,0.0000,22.03,30.17
2022-01-02 02:30:00,0.0000,20.33,26.05
2022-01-02 02:45:00,0.0000,22.87,29.45
2022-01-02 03:00:00,0.0000,21.37,29.06
2022-01-02 03:15:00,0.0000,22.22,30.51
2022-01-02 03:30:00,0.0000,23.13,29.73
2022-01-02 03:45:00,0.0000,21.29,27.81
2022-01-02 04:00:00,0.0000,23.31,28.20
2022-01-02 04:15:00,0.0000,23.27,27.27
2022-01-02 04:30:00,0.0000,23.12,29.17
2022-01-02 04:45:00,0.0000,23.80,26.84
2022-01-02 05:00:00,0.0000,21.98,26.09
2022-01-02 05:15:00,0.0000,22.16,29.19
2022-01-02 05:30:00,0.0000,23.07,29.31
2022-01-02 05:45:00,0.0000,21.41,27.92
2022-01-02 06:00:00,0.0000,23.16,30.67
2022-01-02 06:15:00,0.1147,24.36,33.52
2022-01-02 06:30:00,0.1724,24.16,35.51
2022-01-02 06:45:00,0.1345,24.92,35.19
2022-01-02 07:00:00,0.2664,27.13,35.79
2022-01-02 07:15:00,0.3247,27.93,41.34
2022-01-02 07:30:00,0.4357,29.92,42.86
2022-01-02 07:45:00,0.3774,25.98,39.04
2022-01-02 08:00:00,0.5072,29.61,46.18
2022-01-02 08:15:00,0.6236,34.46,52.88
2022-01-02 08:30:00,0.5540,31.24,48.52
2022-01-02 08:45:00,0.6185,31.33,51.47
2022-01-02 09:00:00,0.7854,34.34,55.44
2022-01-02 09:15:00,0.7906,35.90,53.90
2022-01-02 09:30:00,0.8253,38.98,61.44
2022-01-02 09:45:00,0.8336,37.20,58.77
2022-01-02 10:00:00,0.8405,38.49,58.03
2022-01-02 10:15:00,0.8957,39.10,58.71
2022-01-02 10:30:00,0.9299,38.88,60.98
2022-01-02 10:45:00,0.9605,38.62,60.36
2022-01-02 11:00:00,0.9558,39.08,63.42
2022-01-02 11:15:00,1.0000,39.55,63.96
2022-01-02 11:30:00,1.0000,39.03,62.84
2022-01-02 11:45:00,1.0000,40.18,63.01
2022-01-02 12:00:00,0.9915,41.54,67.54
2022-01-02 12:15:00,0.8965,38.38,60.72
2022-01-02 12:30:00,1.0000,39.62,63.96
2022-01-02 12:45:00,0.9694,39.06,63.26
2022-01-02 13:00:00,0.9650,39.59,64.76
2022-01-02 13:15:00,0.8955,38.05,58.68
2022-01-02 13:30:00,0.8766,38.21,62.12
2022-01-02 13:45:00,0.9139,38.47,59.89
2022-01-02 14:00:00,0.8430,35.42,57.24
2022-01-02 14:15:00,0.9096,36.00,56.70
2022-01-02 14:30:00,0.8218,37.44,58.63
2022-01-02 14:45:00,0.7224,35.60,53.73
2022-01-02 15:00:00,0.6352,33.73,51.38
2022-01-02 15:15:00,0.6192,34.81,52.97
2022-01-02 15:30:00,0.5526,31.91,48.28
2022-01-02 15:45:00,0.5578,31.66,45.87
2022-01-02 16:00:00,0.4637,29.45,45.74
2022-01-02 16:15:00,0.4703,33.27,48.48
2022-01-02 16:30:00,0.3245,29.04,40.60
2022-01-02 16:45:00,0.1732,24.79,34.45
2022-01-02 17:00:00,0.3026,27.88,41.14
2022-01-02 17:15:00,0.2433,28.61,38.13
2022-01-02 17:30:00,0.1072,27.05,37.56
2022-01-02 17:45:00,0.1129,22.81,30.47
2022-01-02 18:00:00,0.0000,23.71,26.09
2022-01-02 18:15:00,0.0000,20.88,26.41
2022-01-02 18:30:00,0.0000,20.00,25.84
2022-01-02 18:45:00,0.0000,21.65,30.27
2022-01-02 19:00:00,0.0000,23.31,28.59
2022-01-02 19:15:00,0.0000,21.79,29.03
2022-01-02 19:30:00,0.0000,23.39,29.38
2022-01-02 19:45:00,0.0000,20.93,26.60
2022-01-02 20:00:00,0.0000,20.73,26.28
2022-01-02 20:15:00,0.0000,22.70,30.85
2022-01-02 20:30:00,0.0000,22.21,30.79
2022-01-02 20:45:00,0.0000,21.94,25.59
2022-01-02 21:00:00,0.0000,20.66,28.12
2022-01-02 21:15:00,0.0000,23.39,29.18
2022-01-02 21:30:00,0.0000,20.40,26.37
2022-01-02 21:45:00,0.0000,22.91,27.76
2022-01-02 22:00:00,0.0000,20.15,26.79
2022-01-02 22:15:00,0.0000,21.61,26.89
2022-01-02 22:30:00,0.0000,23.07,28.81
2022-01-02 22:45:00,0.0000,20.62,24.25
2022-01-02 23:00:00,0.0000,22.74,27.61
2022-01-02 23:15:00,0.0000,21.60,25.12
2022-01-02 23:30:00,0.0000,22.44,28.57
2022-01-02 23:45:00,0.0000,25.64,29.17
2022-01-03 00:00:00,0.0000,21.50,27.78
2022-01-03 00:15:00,0.0000,22.90,27.74
2022-01-03 00:30:00,0.0000,22.30,28.04
2022-01-03 00:45:00,0.0000,21.69,29.09
2022-01-03 01:00:00,0.0000,20.48,26.10
2022-01-03 01:15:00,0.0000,22.23,28.77
2022-01-03 01:30:00,0.0000,21.35,26.59
2022-01-03 01:45:00,0.0000,22.83,30.14
2022-01-03 02:00:00,0.0000,21.99,28.20
2022-01-03 02:15:00,0.0000,23.47,28.16
2022-01-03 02:30:00,0.0000,20.97,27.46
2022-01-03 02:45:00,0.0000,21.19,25.98
2022-01-03 03:00:00,0.0000,22.45,27.62
2022-01-03 03:15:00,0.0000,21.12,27.24
2022-01-03 03:30:00,0.0000,20.00,23.87
2022-01-03 03:45:00,0.0000,23.74,29.44
2022-01-03 04:00:00,0.0000,20.33,25.41
2022-01-03 04:15:00,0.0000,23.56,30.18
2022-01-03 04:30:00,0.0000,22.81,28.11
2022-01-03 04:45:00,0.0000,21.13,26.25
2022-01-03 05:00:00,0.0000,20.69,25.14
2022-01-03 05:15:00,0.0000,20.76,24.35
2022-01-03 05:30:00,0.0000,23.42,28.19
2022-01-03 05:45:00,0.0000,20.53,27.25
2022-01-03 06:00:00,0.0000,22.85,29.52
2022-01-03 06:15:00,0.0649,22.38,26.30
2022-01-03 06:30:00,0.1092,21.81,30.08
2022-01-03 06:45:00,0.1941,25.34,37.74
2022-01-03 07:00:00,0.2381,26.67,35.61
2022-01-03 07:15:00,0.3236,28.33,39.22
2022-01-03 07:30:00,0.3241,27.86,40.03
2022-01-03 07:45:00,0.4902,31.25,47.55
2022-01-03 08:00:00,0.4020,30.20,43.01
2022-01-03 08:15:00,0.5330,32.59,47.00
2022-01-03 08:30:00,0.5364,32.36,49.29
2022-01-03 08:45:00,0.7065,34.62,52.22
2022-01-03 09:00:00,0.7464,34.84,52.55
2022-01-03 09:15:00,0.7985,36.94,58.27
2022-01-03 09:30:00,0.7484,37.56,57.39
2022-01-03 09:45:00,0.8325,37.84,59.10
2022-01-03 10:00:00,0.8996,38.27,60.39
2022-01-03 10:15:00,0.9145,39.20,61.48
2022-01-03 10:30:00,0.9142,38.12,61.41
2022-01-03 10:45:00,1.0000,38.64,62.95
2022-01-03 11:00:00,0.9069,40.34,63.37
2022-01-03 11:15:00,1.0000,39.90,62.40
2022-01-03 11:30:00,0.9981,40.41,64.65
2022-01-03 11:45:00,0.9835,38.58,60.08
2022-01-03 12:00:00,1.0000,41.52,66.88
2022-01-03 12:15:00,1.0000,39.18,62.15
2022-01-03 12:30:00,1.0000,41.05,65.94
2022-01-03 12:45:00,0.9562,39.00,62.54
2022-01-03 13:00:00,0.9467,37.54,59.89
2022-01-03 13:15:00,0.9055,39.71,62.02
2022-01-03 13:30:00,0.8232,35.88,58.28
2022-01-03 13:45:00,0.9138,39.91,60.64
2022-01-03 14:00:00,0.9287,40.91,63.18
2022-01-03 14:15:00,0.7772,35.02,54.90
2022-01-03 14:30:00,0.8247,39.27,60.23
2022-01-03 14:45:00,0.7056,34.48,53.15
2022-01-03 15:00:00,0.6723,33.73,49.28
2022-01-03 15:15:00,0.6401,34.91,51.89
2022-01-03 15:30:00,0.5734,32.03,50.84
2022-01-03 15:45:00,0.5956,31.47,47.97
2022-01-03 16:00:00,0.4868,30.50,46.24
2022-01-03 16:15:00,0.4673,30.51,45.58
2022-01-03 16:30:00,0.4264,29.83,42.96
2022-01-03 16:45:00,0.3309,26.82,37.04
2022-01-03 17:00:00,0.2289,27.17,37.47
2022-01-03 17:15:00,0.2171,25.66,36.19
2022-01-03 17:30:00,0.0996,23.39,32.45
2022-01-03 17:45:00,0.0503,23.85,31.91
2022-01-03 18:00:00,0.0000,22.93,26.42
2022-01-03 18:15:00,0.0000,22.48,29.27
2022-01-03 18:30:00,0.0000,22.11,25.93
2022-01-03 18:45:00,0.0000,22.20,26.47
2022-01-03 19:00:00,0.0000,22.08,26.45
2022-01-03 19:15:00,0.0000,20.43,25.59
2022-01-03 19:30:00,0.0000,23.11,27.52
2022-01-03 19:45:00,0.0000,23.18,29.85
2022-01-03 20:00:00,0.0000,21.94,28.44
2022-01-03 20:15:00,0.0000,21.51,29.04
2022-01-03 20:30:00,0.0000,22.24,27.71
2022-01-03 20:45:00,0.0000,23.02,27.38
2022-01-03 21:00:00,0.0000,20.52,26.96
2022-01-03 21:15:00,0.0000,23.04,28.04
2022-01-03 21:30:00,0.0000,21.39,26.31
2022-01-03 21:45:00,0.0000,22.25,28.69
2022-01-03 22:00:00,0.0000,22.89,28.07
2022-01-03 22:15:00,0.0000,21.26,27.24
2022-01-03 22:30:00,0.0000,20.81,27.42
2022-01-03 22:45:00,0.0000,22.63,29.85
2022-01-03 23:00:00,0.0000,21.08,27.82
2022-01-03 23:15:00,0.0000,22.42,26.32
2022-01-03 23:30:00,0.0000,23.50,30.76
2022-01-03 23:45:00,0.0000,21.71,25.55
2022-01-04 00:00:00,0.0000,22.76,27.79
2022-01-04 00:15:00,0.0000,22.70,29.78
2022-01-04 00:30:00,0.0000,21.62,26.20
2022-01-04 00:45:00,0.0000,22.96,28.47
2022-01-04 01:00:00,0.0000,22.57,25.91
2022-01-04 01:15:00,0.0000,22.94,26.77
2022-01-04 01:30:00,0.0000,20.29,25.94
2022-01-04 01:45:00,0.0000,21.26,28.35
2022-01-04 02:00:00,0.0000,22.65,32.20
2022-01-04 02:15:00,0.0000,22.10,28.90
2022-01-04 02:30:00,0.0000,22.31,27.74
2022-01-04 02:45:00,0.0000,23.27,26.59
2022-01-04 03:00:00,0.0000,20.94,29.13
2022-01-04 03:15:00,0.0000,21.49,28.11
2022-01-04 03:30:00,0.0000,22.29,25.58
2022-01-04 03:45:00,0.0000,20.86,27.45
2022-01-04 04:00:00,0.0000,22.10,29.72
2022-01-04 04:15:00,0.0000,21.99,26.35
2022-01-04 04:30:00,0.0000,21.20,29.74
2022-01-04 04:45:00,0.0000,22.59,27.35
2022-01-04 05:00:00,0.0000,23.33,29.17
2022-01-04 05:15:00,0.0000,20.92,28.16
2022-01-04 05:30:00,0.0000,22.88,26.42
2022-01-04 05:45:00,0.0000,22.00,30.15
2022-01-04 06:00:00,0.0000,21.47,27.24
2022-01-04 06:15:00,0.1207,23.22,32.09
2022-01-04 06:30:00,0.1147,23.00,31.49
2022-01-04 06:45:00,0.2114,29.66,39.21
2022-01-04 07:00:00,0.2673,26.98,37.00
2022-01-04 07:15:00,0.2998,28.83,40.08
2022-01-04 07:30:00,0.3843,27.07,39.26
2022-01-04 07:45:00,0.4184,29.89,41.08
2022-01-04 08:00:00,0.5429,31.59,47.21
2022-01-04 08:15:00,0.5185,32.05,47.47
2022-01-04 08:30:00,0.6606,35.23,53.87
2022-01-04 08:45:00,0.5103,32.04,44.45
2022-01-04 09:00:00,0.6011,31.73,50.56
2022-01-04 09:15:00,0.6923,34.78,50.60
2022-01-04 09:30:00,0.7672,35.24,53.05
2022-01-04 09:45:00,0.8383,37.35,59.40
2022-01-04 10:00:00,0.8751,39.25,60.87
2022-01-04 10:15:00,0.8951,39.75,62.76
2022-01-04 10:30:00,0.8903,37.92,56.77
2022-01-04 10:45:00,0.8448,37.25,55.78
2022-01-04 11:00:00,0.9551,39.85,61.35
2022-01-04 11:15:00,0.9719,41.02,62.47
2022-01-04 11:30:00,1.0000,37.44,65.70
2022-01-04 11:45:00,0.9764,40.35,62.16
2022-01-04 12:00:00,1.0000,38.37,60.73
2022-01-04 12:15:00,1.0000,40.88,63.01
2022-01-04 12:30:00,0.9635,39.47,60.86
2022-01-04 12:45:00,0.9313,39.35,61.96
2022-01-04 13:00:00,0.9074,38.25,62.21
2022-01-04 13:15:00,0.9879,39.82,64.59
2022-01-04 13:30:00,0.8801,36.88,56.08
2022-01-04 13:45:00,0.8773,37.13,60.33
2022-01-04 14:00:00,0.8026,35.84,56.24
2022-01-04 14:15:00,0.8398,37.37,56.64
2022-01-04 14:30:00,0.8595,35.75,62.74
2022-01-04 14:45:00,0.7400,34.90,56.34
2022-01-04 15:00:00,0.6947,36.01,52.70
2022-01-04 15:15:00,0.6391,34.59,52.82
2022-01-04 15:30:00,0.6175,32.84,48.61
2022-01-04 15:45:00,0.6545,35.48,52.53
2022-01-04 16:00:00,0.4919,32.25,50.23
2022-01-04 16:15:00,0.4838,29.29,41.42
2022-01-04 16:30:00,0.3463,26.69,37.92
2022-01-04 16:45:00,0.3270,27.91,38.86
2022-01-04 17:00:00,0.3802,28.71,42.11
2022-01-04 17:15:00,0.2451,27.98,37.48
2022-01-04 17:30:00,0.2040,26.46,37.19
2022-01-04 17:45:00,0.0248,23.35,30.81
2022-01-04 18:00:00,0.0237,23.53,30.54
2022-01-04 18:15:00,0.0000,21.47,26.32
2022-01-04 18:30:00,0.0000,21.51,25.71
2022-01-04 18:45:00,0.0000,22.02,27.90
2022-01-04 19:00:00,0.0000,22.24,24.33
2022-01-04 19:15:00,0.0000,21.89,27.60
2022-01-04 19:30:00,0.0000,22.31,29.92
2022-01-04 19:45:00,0.0000,20.82,23.99
2022-01-04 20:00:00,0.0000,21.47,29.26
2022-01-04 20:15:00,0.0000,20.70,25.69
2022-01-04 20:30:00,0.0000,22.91,29.55
2022-01-04 20:45:00,0.0000,23.43,26.88
2022-01-04 21:00:00,0.0000,21.95,30.21
2022-01-04 21:15:00,0.0000,21.88,29.36
2022-01-04 21:30:00,0.0000,21.81,25.93
2022-01-04 21:45:00,0.0000,24.40,30.97
2022-01-04 22:00:00,0.0000,23.36,30.14
2022-01-04 22:15:00,0.0000,22.18,26.55
2022-01-04 22:30:00,0.0000,22.22,26.89
2022-01-04 22:45:00,0.0000,21.90,30.29
2022-01-04 23:00:00,0.0000,25.13,30.71
2022-01-04 23:15:00,0.0000,23.04,26.73
2022-01-04 23:30:00,0.0000,21.62,28.20
2022-01-04 23:45:00,0.0000,20.95,28.92
2022-01-05 00:00:00,0.0000,21.80,27.45
2022-01-05 00:15:00,0.0000,20.19,22.32
2022-01-05 00:30:00,0.0000,22.50,28.82
2022-01-05 00:45:00,0.0000,20.45,25.65
2022-01-05 01:00:00,0.0000,21.63,25.53
2022-01-05 01:15:00,0.0000,20.43,26.27
2022-01-05 01:30:00,0.0000,21.72,27.95
2022-01-05 01:45:00,0.0000,22.15,29.48
2022-01-05 02:00:00,0.0000,23.50,30.02
2022-01-05 02:15:00,0.0000,20.00,25.95
2022-01-05 02:30:00,0.0000,21.57,27.92
2022-01-05 02:45:00,0.0000,23.03,27.74
2022-01-05 03:00:00,0.0000,21.83,29.00
2022-01-05 03:15:00,0.0000,21.42,27.75
2022-01-05 03:30:00,0.0000,20.10,25.38
2022-01-05 03:45:00,0.0000,20.46,26.50
2022-01-05 04:00:00,0.0000,23.53,30.78
2022-01-05 04:15:00,0.0000,21.83,28.45
2022-01-05 04:30:00,0.0000,23.81,27.78
2022-01-05 04:45:00,0.0000,24.27,30.16
2022-01-05 05:00:00,0.0000,22.61,25.55
2022-01-05 05:15:00,0.0000,24.30,32.91
2022-01-05 05:30:00,0.0000,21.39,26.83
2022-01-05 05:45:00,0.0000,23.85,28.77
2022-01-05 06:00:00,0.0000,22.33,28.88
2022-01-05 06:15:00,0.1248,23.05,29.97
2022-01-05 06:30:00,0.1341,24.11,30.49
2022-01-05 06:45:00,0.2363,23.63,32.81
2022-01-05 07:00:00,0.1613,25.02,35.21
2022-01-05 07:15:00,0.3115,26.28,37.05
2022-01-05 07:30:00,0.3629,30.74,44.79
2022-01-05 07:45:00,0.5426,34.60,48.87
2022-01-05 08:00:00,0.5915,32.41,50.28
2022-01-05 08:15:00,0.5512,34.09,48.91
2022-01-05 08:30:00,0.5767,33.51,49.85
2022-01-05 08:45:00,0.6914,34.48,51.99
2022-01-05 09:00:00,0.7731,35.87,55.32
2022-01-05 09:15:00,0.7239,34.97,55.10
2022-01-05 09:30:00,0.7963,36.15,55.18
2022-01-05 09:45:00,0.7683,34.65,55.48
2022-01-05 10:00:00,0.9277,40.50,62.61
2022-01-05 10:15:00,0.9632,39.31,60.60
2022-01-05 10:30:00,0.8694,37.23,59.11
2022-01-05 10:45:00,0.9839,37.94,62.42
2022-01-05 11:00:00,1.0000,39.58,62.81
2022-01-05 11:15:00,0.9682,39.87,65.20
2022-01-05 11:30:00,1.0000,40.42,63.92
2022-01-05 11:45:00,1.0000,38.25,63.93
2022-01-05 12:00:00,0.9983,40.33,67.80
2022-01-05 12:15:00,0.9935,38.16,63.43
2022-01-05 12:30:00,1.0000,41.81,63.57
2022-01-05 12:45:00,1.0000,39.21,61.63
2022-01-05 13:00:00,0.9396,38.57,61.34
2022-01-05 13:15:00,0.9118,37.72,58.46
2022-01-05 13:30:00,0.8326,37.78,60.99
2022-01-05 13:45:00,0.8661,37.84,56.33
2022-01-05 14:00:00,0.8998,38.54,60.60
2022-01-05 14:15:00,0.8163,37.18,60.81
2022-01-05 14:30:00,0.8489,35.50,55.93
2022-01-05 14:45:00,0.8131,37.73,60.09
2022-01-05 15:00:00,0.7148,34.08,54.73
2022-01-05 15:15:00,0.6224,34.87,51.27
2022-01-05 15:30:00,0.6185,34.07,51.25
2022-01-05 15:45:00,0.4990,31.90,43.75
2022-01-05 16:00:00,0.3789,29.49,42.93
2022-01-05 16:15:00,0.5113,31.08,45.32
2022-01-05 16:30:00,0.3740,28.18,41.09
2022-01-05 16:45:00,0.2414,24.85,38.45
2022-01-05 17:00:00,0.3759,31.94,43.60
2022-01-05 17:15:00,0.2000,23.64,32.40
2022-01-05 17:30:00,0.0853,24.97,31.82
2022-01-05 17:45:00,0.0658,24.18,30.62
2022-01-05 18:00:00,0.0000,22.79,29.50
2022-01-05 18:15:00,0.0000,22.74,27.37
2022-01-05 18:30:00,0.0000,21.40,26.70
2022-01-05 18:45:00,0.0000,23.03,26.84
2022-01-05 19:00:00,0.0000,22.01,27.88
2022-01-05 19:15:00,0.0000,24.23,29.13
2022-01-05 19:30:00,0.0000,20.92,27.17
2022-01-05 19:45:00,0.0000,21.30,23.96
2022-01-05 20:00:00,0.0000,22.20,27.87
2022-01-05 20:15:00,0.0000,21.68,29.74
2022-01-05 20:30:00,0.0000,20.00,26.14
2022-01-05 20:45:00,0.0000,20.77,27.04
2022-01-05 21:00:00,0.0000,23.87,28.42
2022-01-05 21:15:00,0.0000,21.96,26.92
2022-01-05 21:30:00,0.0000,20.56,26.39
2022-01-05 21:45:00,0.0000,22.01,29.85
2022-01-05 22:00:00,0.0000,22.11,28.39
2022-01-05 22:15:00,0.0000,21.97,26.72
2022-01-05 22:30:00,0.0000,20.07,26.60
2022-01-05 22:45:00,0.0000,22.34,28.99
2022-01-05 23:00:00,0.0000,23.37,29.21
2022-01-05 23:15:00,0.0000,23.20,27.59
2022-01-05 23:30:00,0.0000,22.86,29.21
2022-01-05 23:45:00,0.0000,23.80,28.11
2022-01-06 00:00:00,0.0000,20.05,27.27
2022-01-06 00:15:00,0.0000,22.65,28.84
2022-01-06 00:30:00,0.0000,22.06,26.46
2022-01-06 00:45:00,0.0000,22.00,25.29
2022-01-06 01:00:00,0.0000,21.05,26.61
2022-01-06 01:15:00,0.0000,21.94,30.06
2022-01-06 01:30:00,0.0000,20.15,26.72
2022-01-06 01:45:00,0.0000,22.14,29.69
2022-01-06 02:00:00,0.0000,21.09,28.26
2022-01-06 02:15:00,0.0000,21.55,25.41
2022-01-06 02:30:00,0.0000,20.96,26.48
2022-01-06 02:45:00,0.0000,22.29,28.46
2022-01-06 03:00:00,0.0000,24.27,31.34
2022-01-06 03:15:00,0.0000,21.35,30.21
2022-01-06 03:30:00,0.0000,24.76,26.70
2022-01-06 03:45:00,0.0000,21.98,25.34
2022-01-06 04:00:00,0.0000,22.88,29.33
2022-01-06 04:15:00,0.0000,20.00,26.05
2022-01-06 04:30:00,0.0000,21.71,29.45
2022-01-06 04:45:00,0.0000,21.94,29.42
2022-01-06 05:00:00,0.0000,21.54,27.20
2022-01-06 05:15:00,0.0000,21.57,28.27
2022-01-06 05:30:00,0.0000,20.19,27.53
2022-01-06 05:45:00,0.0000,23.56,29.48
2022-01-06 06:00:00,0.0000,20.95,28.24
2022-01-06 06:15:00,0.0668,23.70,32.42
2022-01-06 06:30:00,0.0823,23.90,30.30
2022-01-06 06:45:00,0.1695,27.28,37.96
2022-01-06 07:00:00,0.3733,29.75,43.28
2022-01-06 07:15:00,0.3539,27.15,40.35
2022-01-06 07:30:00,0.4164,28.36,42.09
2022-01-06 07:45:00,0.4647,28.79,41.29
2022-01-06 08:00:00,0.4784,28.10,43.58
2022-01-06 08:15:00,0.5888,35.68,51.40
2022-01-06 08:30:00,0.5889,32.19,46.82
2022-01-06 08:45:00,0.7240,33.77,51.77
2022-01-06 09:00:00,0.6808,34.70,51.81
2022-01-06 09:15:00,0.7675,34.63,55.40
2022-01-06 09:30:00,0.7684,33.77,57.70
2022-01-06 09:45:00,0.9000,39.82,60.91
2022-01-06 10:00:00,0.7809,35.15,54.79
2022-01-06 10:15:00,0.8808,37.64,59.13
2022-01-06 10:30:00,0.9987,36.86,60.64
2022-01-06 10:45:00,0.9500,37.73,59.88
2022-01-06 11:00:00,0.9190,37.79,60.15
2022-01-06 11:15:00,0.9900,41.95,68.14
2022-01-06 11:30:00,1.0000,41.33,63.74
2022-01-06 11:45:00,1.0000,40.22,63.53
2022-01-06 12:00:00,1.0000,42.96,67.00
2022-01-06 12:15:00,1.0000,40.14,65.66
2022-01-06 12:30:00,1.0000,40.30,64.95
2022-01-06 12:45:00,1.0000,40.03,61.30
2022-01-06 13:00:00,0.9873,40.76,63.40
2022-01-06 13:15:00,0.9572,37.88,59.93
